"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1396,0.010926625984838,0.0290611028315946
394913,"New York, NY","Msa",1,2394,0.000149140056990404,0.0486202365308803
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2557,0.0232567117404967,0.039085239085239
394463,"Chicago, IL","Msa",3,1599,-0.0199471221913613,0.00369003690036895
394514,"Dallas-Fort Worth, TX","Msa",4,1533,0.0193608242008307,0.0429958391123439
394974,"Philadelphia, PA","Msa",5,1556,-0.000219319305786447,0.0176586003924133
394692,"Houston, TX","Msa",6,1608,0.01940216626766,0.0443708609271523
395209,"Washington, DC","Msa",7,2123,0.00759857701989342,0.00909961685823757
394856,"Miami-Fort Lauderdale, FL","Msa",8,1895,0.0348429516046573,0.0421172453044962
394347,"Atlanta, GA","Msa",9,1301,0.0192966985412566,0.0348742903487429
394404,"Boston, MA","Msa",10,2293,0.0205161601057733,0.0599056603773584
395057,"San Francisco, CA","Msa",11,3492,0.0437517199660433,0.113848202396804
394532,"Detroit, MI","Msa",12,1133,-0.00375835653539958,0.0197309417040359
395025,"Riverside, CA","Msa",13,1719,0.0152269824667972,0.0323170731707316
394976,"Phoenix, AZ","Msa",14,1270,0.013590071032844,0.0363937138130686
395078,"Seattle, WA","Msa",15,2026,0.0446563925145962,0.0718629076838031
394865,"Minneapolis-St Paul, MN","Msa",16,1508,0.00587328661831554,0.0155826558265582
395056,"San Diego, CA","Msa",17,2377,0.0218759124064214,0.0374665477252454
395121,"St. Louis, MO","Msa",18,1108,-0.0129667451922079,0.0117117117117118
395148,"Tampa, FL","Msa",19,1299,-0.000329026129901155,0.0400320256204965
394358,"Baltimore, MD","Msa",20,1686,-0.0154817081091081,0.00764705882352934
394530,"Denver, CO","Msa",21,2027,0.0369802875297138,0.0795140806184429
394982,"Pittsburgh, PA","Msa",22,1076,-0.0149905444230606,0.00924214417744906
394998,"Portland, OR","Msa",23,1748,0.0322756652846723,0.0915538362346873
394458,"Charlotte, NC","Msa",24,1245,0.0202285539103364,0.0286677908937605
395045,"Sacramento, CA","Msa",25,1650,0.0294286748745007,0.0436197916666667
395055,"San Antonio, TX","Msa",26,1291,-0.00508896862241914,0.0285261489698891
394943,"Orlando, FL","Msa",27,1375,0.0230863459503918,0.0418604651162791
394466,"Cincinnati, OH","Msa",28,1237,0.0106119339017623,0.0242677824267783
394475,"Cleveland, OH","Msa",29,1099,-0.0170982310746012,-0.00622222222222224
394735,"Kansas City, MO","Msa",30,1244,0.0311408545478646,0.0351931330472104
394775,"Las Vegas, NV","Msa",31,1199,-0.00958296374467604,0.0150880134115674
394492,"Columbus, OH","Msa",32,1286,0.012071797333187,0.0283171521035599
394705,"Indianapolis, IN","Msa",33,1135,-0.0380112161696222,0.00511073253833039
395059,"San Jose, CA","Msa",34,3715,0.0791246603455786,0.0833857772183764
394355,"Austin, TX","Msa",35,1739,0.032931840793812,0.0350338045482483
395194,"Virginia Beach, VA","Msa",36,1418,0.00850294990083089,-0.00283687943262412
394902,"Nashville, TN","Msa",37,1382,-0.0156561494919527,0.0628311884935655
395005,"Providence, RI","Msa",38,1545,-0.00353344517077492,0.0430686406460297
394862,"Milwaukee, WI","Msa",39,1308,-0.0204307739809069,0.0245587106676899
394714,"Jacksonville, FL","Msa",40,1253,-0.001080153711284,0.00966183574879231
394849,"Memphis, TN","Msa",41,1039,-0.0100589138454003,-0.00190114068441061
394935,"Oklahoma City, OK","Msa",42,1131,-0.0192778875544525,-0.00859845227858991
394807,"Louisville-Jefferson County, KY","Msa",43,1136,0.0367802172307339,0.0468003820439351
394669,"Hartford, CT","Msa",44,1608,0.010308746508743,0.0179028132992327
395022,"Richmond, VA","Msa",45,1313,-0.0128676197214256,0.00757575757575757
394910,"New Orleans, LA","Msa",46,1436,-0.00469465328471319,0.006276150627615
394425,"Buffalo, NY","Msa",47,1312,0.0885683895450204,0.135721017907634
395012,"Raleigh, NC","Msa",48,1377,0.00530088581766575,0.024682124158564
394388,"Birmingham, AL","Msa",49,1065,-0.00718423784318423,0.0317307692307693
395053,"Salt Lake City, UT","Msa",50,1455,0.0180199745475895,0.031024531024531
